RANK,TEAM,RECORD,POINTS ALLOWED/GAME,RUSH YDS ALLOWED/GAME,PASS YDS ALLOWED/GAME,YARDS ALLOWED/GAME,POINTS/GAME,RUSH YDS/GAME,PASS YDS/GAME,YARDS/GAME,Season
1,Ohio State,14-2,12.9,87.6,144.1,231.8,35.7,166.4,256.4,422.8,2024
2,Notre Dame,14-2,15.5,138.1,152.8,290.9,36.1,200.9,189.5,390.4,2024
3,Oregon,13-1,19.4,130.1,171.1,301.2,34.9,157.9,268.5,426.4,2024
4,Texas,13-3,15.3,109.9,154.7,264.6,33,158.8,264.9,423.7,2024
5,Penn State,13-3,16.5,101.9,173.6,275.4,33.1,202.3,219,421.3,2024
6,Georgia,3-Nov,20.6,130.1,183.4,313.5,31.5,124.4,267.6,392.1,2024
7,Arizona State,3-Nov,22.6,113.1,212.6,325.7,32.9,200.2,219.1,419.4,2024
8,Boise State,2-Dec,22.6,122.3,214.4,336.6,37.3,240.4,220.3,460.6,2024
9,Tennessee,3-Oct,16.1,103.9,175.5,279.4,35.7,226.5,209.5,435.9,2024
10,Indiana,2-Nov,15.6,80.2,156.8,237.1,41.3,165.1,249.2,414.2,2024
11,Ole Miss,3-Oct,14.4,80.5,204.2,284.6,38.6,175.8,338.1,513.9,2024
12,SMU,3-Nov,22.1,100.2,206.4,306.6,36.5,167.6,253.9,421.6,2024
13,BYU,2-Nov,19.6,126.3,167.3,293.6,31.2,161.2,220,381.2,2024
14,Clemson,4-Oct,23.4,160.6,199.4,360.1,34.7,173.4,266.6,439.9,2024
15,Iowa State,3-Nov,22.9,188.4,158.3,346.6,31.1,160.5,250.1,410.6,2024
16,Illinois,3-Oct,21.7,149,208.5,357.5,28.3,153.6,195.7,349.3,2024
17,Alabama,4-Sep,17.4,137.8,168.4,306.2,33.8,173.5,224.2,397.7,2024
18,Miami,3-Oct,25.3,112.8,196.7,309.5,43.9,188.9,336.8,525.7,2024
19,South Carolina,4-Sep,18.1,112.2,181.5,293.7,30.5,184.9,202.8,387.8,2024
